Disease,Symptoms,Description,Treatment,Cause,Prevention
Diabetes Type 2,"Increased thirst, frequent urination, fatigue, blurred vision, slow healing wounds","A chronic condition affecting how the body metabolizes sugar (glucose). The body either doesn't produce enough insulin or doesn't use insulin effectively.","Lifestyle changes (diet and exercise), Metformin, insulin therapy, blood sugar monitoring","Insulin resistance, genetic factors, obesity, physical inactivity, poor diet","Maintain healthy weight, exercise regularly, eat balanced diet, avoid sugary foods, regular blood sugar screening"
Hypertension,"Headache, shortness of breath, nosebleeds, flushing, dizziness (often asymptomatic)","High blood pressure — a chronic condition where the force of blood against artery walls is consistently too high. Often called the silent killer.","ACE inhibitors, beta-blockers, diuretics, calcium channel blockers, lifestyle changes","High sodium diet, obesity, stress, lack of exercise, genetics, kidney disease","Reduce sodium intake, exercise regularly, manage stress, limit alcohol, maintain healthy weight"
Migraine,"Severe throbbing headache, nausea, vomiting, sensitivity to light and sound, visual aura","A neurological disease characterized by recurrent moderate-to-severe headaches, often on one side of the head.","Triptans, pain relievers, anti-nausea medications, preventive medications like beta-blockers","Hormonal changes, stress, certain foods, sensory stimuli, sleep changes, weather changes","Identify and avoid triggers, regular sleep schedule, stress management, hydration"
Asthma,"Wheezing, shortness of breath, chest tightness, coughing (especially at night)","A condition in which airways narrow, swell, and may produce extra mucus, making breathing difficult.","Inhaled corticosteroids, bronchodilators (albuterol), leukotriene modifiers, biologics","Airborne allergens, respiratory infections, exercise, cold air, air pollutants, smoke","Avoid triggers, use air purifiers, take preventive medication, get flu vaccinations"
Pneumonia,"Chest pain, cough with phlegm, fever, chills, shortness of breath, fatigue","Infection that inflames air sacs in one or both lungs, which may fill with fluid or pus.","Antibiotics (bacterial), antiviral medications, fever reducers, rest, fluids, hospitalization if severe","Bacteria (Streptococcus pneumoniae), viruses (influenza, COVID-19), fungi","Vaccination (pneumococcal, flu), good hygiene, not smoking, healthy immune system"
Dengue Fever,"High fever, severe headache, pain behind eyes, joint and muscle pain, rash, mild bleeding","A mosquito-borne viral infection common in tropical regions, causing flu-like illness.","Supportive care — rest, fluids, paracetamol for fever; no specific antiviral","Aedes aegypti mosquito bite carrying dengue virus (4 serotypes)","Use mosquito repellent, eliminate standing water, wear protective clothing, use bed nets"
Tuberculosis,"Cough lasting 3+ weeks, coughing blood, chest pain, weight loss, night sweats, fever","A serious infectious disease caused by Mycobacterium tuberculosis, primarily affecting the lungs.","6-month antibiotic regimen (isoniazid, rifampin, pyrazinamide, ethambutol)","Mycobacterium tuberculosis spread through airborne droplets","BCG vaccination, early diagnosis, proper ventilation, completing full antibiotic course"
Malaria,"Fever, chills, headache, nausea, vomiting, muscle pain, fatigue, sweating","A life-threatening disease caused by Plasmodium parasites transmitted through infected mosquito bites.","Antimalarial drugs: artemisinin-based combination therapies (ACTs), chloroquine where effective","Plasmodium parasites (falciparum, vivax, malariae, ovale) via Anopheles mosquito","Insecticide-treated bed nets, antimalarial prophylaxis, indoor spraying, mosquito control"
Anemia,"Fatigue, weakness, pale skin, shortness of breath, dizziness, cold hands and feet","A condition with insufficient healthy red blood cells to carry adequate oxygen to tissues.","Iron supplements, vitamin B12/folate supplements, treating underlying cause, blood transfusion in severe cases","Iron deficiency, vitamin B12/folate deficiency, chronic disease, blood loss, bone marrow issues","Balanced diet rich in iron and vitamins, treat underlying conditions, regular checkups"
Gastroenteritis,"Nausea, vomiting, diarrhea, abdominal cramps, fever, muscle aches","Inflammation of the stomach and intestines, commonly called stomach flu.","Oral rehydration therapy, rest, bland diet (BRAT), antiemetics, antibiotics for bacterial causes","Viruses (norovirus, rotavirus), bacteria (Salmonella, E. coli), parasites, contaminated food/water","Hand hygiene, safe food handling, clean water, rotavirus vaccination for children"
Hypothyroidism,"Fatigue, weight gain, cold sensitivity, constipation, dry skin, hair loss, depression","Underactive thyroid — the thyroid gland doesn't produce enough thyroid hormone.","Levothyroxine (synthetic T4 hormone), regular TSH monitoring","Hashimoto's thyroiditis, thyroid surgery, radiation therapy, iodine deficiency","Adequate iodine intake, regular thyroid screening especially for women over 35"
Chronic Kidney Disease,"Fatigue, swelling in legs/ankles, decreased urination, nausea, shortness of breath, confusion","Gradual loss of kidney function over time, leading to waste buildup in the body.","Blood pressure control, diabetes management, low-protein diet, dialysis, kidney transplant","Diabetes, hypertension, glomerulonephritis, polycystic kidney disease","Control blood sugar and blood pressure, healthy diet, avoid nephrotoxic medications"
Depression,"Persistent sadness, loss of interest, changes in appetite/sleep, fatigue, feelings of worthlessness","A mood disorder causing persistent feelings of sadness and loss of interest, affecting daily activities.","Antidepressants (SSRIs, SNRIs), psychotherapy (CBT), lifestyle changes, ECT for severe cases","Genetics, brain chemistry, trauma, chronic illness, stress, hormonal changes","Regular exercise, social support, stress management, early treatment, avoiding substance use"
COVID-19,"Fever, cough, shortness of breath, fatigue, loss of taste/smell, body aches, sore throat","Infectious disease caused by SARS-CoV-2, ranging from mild illness to severe respiratory disease.","Supportive care, antivirals (Paxlovid, remdesivir for severe cases), oxygen therapy, ventilation","SARS-CoV-2 coronavirus spread via respiratory droplets and aerosols","Vaccination, masking, hand hygiene, ventilation, social distancing, testing"
Osteoarthritis,"Joint pain, stiffness, swelling, reduced range of motion, grating sensation","Degenerative joint disease causing cartilage breakdown, most commonly in knees, hips, hands, and spine.","Pain relievers (NSAIDs), physical therapy, weight management, corticosteroid injections, joint replacement","Aging, joint injury, obesity, genetics, repetitive stress on joints","Maintain healthy weight, regular low-impact exercise, protect joints from injury"
